phrase,prompt,Care
Sharp pain and heavy breathing,Internal pain,PCP
When I remember her I feel down,Emotional pain,PCP
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound,PCP
I must see a doctor i have an open wound,Open wound,Emergencey
I have a powerful pain inside my neck,Neck pain,PCP
A terrible fall in hair,Hair falling out,Pharmacy
I'm in need for a treatment for my hair fall,Hair falling out,Pharmacy
I've been feeling very sad lately,Emotional pain,PCP
"my cbc report indicate 10 hb, i feel tired of little work.",Body feels weak,PCP
I'm having a hard time reading because the letters are all fuzzy,Blurry vision,PCP
i feel pain in my neck,Neck pain,PCP
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,PCP
I was kicked in the head playing soccer last night.,Injury from sports,Emergencey
I feel dizzy after doing a muscular effort.,Feeling dizzy,PCP
I have acne all over my face,Acne,Pharmacy
My skin is itching.,Skin issue,Pharmacy
"i can't move my leg, there is pain in the joint",Joint pain,PCP
i feel pain in my back,Back pain,PCP
I have a mental suffering,Emotional pain,PCP
I think my body temperature is very low.,Feeling cold,Pharmacy
Chronic disease of hair follicles and sebaceous glands,Acne,Pharmacy
I feel lightheaded when I stand up,Feeling dizzy,PCP
My muscle in my shoulder burns when I move my arm.,Muscle pain,PCP
I feel pain in my eyes I can see fog,Blurry vision,PCP
The acne was causing me to feel embarrassed.,Acne,Pharmacy
I feel a burning sensation in my shoulder muscle.,Muscle pain,PCP
using hair tonic,Hair falling out,Pharmacy
I feel a pain in my neck,Neck pain,PCP
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,PCP
I can't get a girlfriend because of my acne.,Acne,Pharmacy
i have a great pain in my thorax from heart injury,Heart hurts,Emergencey
I walk every day but now I get short of breath after going only a short way.,Hard to breath,Emergencey
i cant breathe,Cough,PCP
I complain alot with my neck pain and i really need to be better,Neck pain,PCP
I have an internal pain I cannot describe,Internal pain,PCP
i have difficulty moving my neck,Neck pain,PCP
I feel congestion in my chest,Cough,PCP
I feel a clicking sensation in my knee each time I step.,Joint pain,PCP
I have a split on my thumb that will not heal.,Open wound,Emergencey
I feel discomfort throughout the body in general,Body feels weak,PCP
I have a painful cramp in my feet,Foot ache,PCP
There is an injured person,Infected wound,PCP
i feel pain in my knee,Knee pain,PCP
There is a sharp pain in my calve.,Muscle pain,PCP
There is pain in my joints. I can not bear pain,Joint pain,PCP
I have a skin rash after eating an ice-cream.,Skin issue,Pharmacy
When I eat too much sugar my body gets weak and dizzy.,Body feels weak,PCP
It's hard to see things,Blurry vision,PCP
Severe pain in the ear,Ear ache,PCP
I must see a doctor i have an open wound,Open wound,Emergencey
i can't breath because of  Cough,Cough,PCP
I have pain in my stomach,Stomach ache,PCP
I feel a great amount of pressure of my head.,Head ache,PCP
I've been over my cold for weeks but still cough every day.,Cough,PCP
In the morning my respiration is loud.,Hard to breath,Emergencey
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne,Pharmacy
My face is all broken out with pimples.,Acne,Pharmacy
There are lots of hairs on my pillow in the morning.,Hair falling out,Pharmacy
After a breakup  I feel something strange in me.,Emotional pain,PCP
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain,PCP
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain,PCP
Mr hair is falling out just by combing it.,Hair falling out,Pharmacy
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain,PCP
There is so much pain when I move my arm.,Shoulder pain,PCP
I used to have acne when I was 15 years old,Acne,Pharmacy
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,Emergencey
I hate my acne.,Acne,Pharmacy
when i extend my leg there is pain in knee joint,Joint pain,PCP
I have this strange rash on my arm.,Skin issue,Pharmacy
i can't see well,Blurry vision,PCP
I can't stand up or sit down I have a pain in my back that annoys me,Back pain,PCP
my hair isn't well,Hair falling out,Pharmacy
The crushing sensation on my heart leaves me breathless.,Heart hurts,Emergencey
itch at front and center of scalp,Hair falling out,Pharmacy
i have injured myself during the soccer match,Injury from sports,Emergencey
I have an ear ache when showering,Ear ache,PCP
I feel pain when parting loved ones,Emotional pain,PCP
I feel a sharp pain in my stomach,Internal pain,PCP
My muscles in my lower back are aching.,Muscle pain,PCP
My head hurts when I'm doing this.,Head ache,PCP
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision,PCP
My wound opened up again,Open wound,Emergencey
I get i joint pain when i try to bend my leg or my arm,Joint pain,PCP
My right shoulder clicks when I move my arm.,Shoulder pain,PCP
I feel great pain in the head,Head ache,PCP
The wound is still open,Open wound,Emergencey
Pain in the large neck,Neck pain,PCP
There is a sharp pain in my calve.,Muscle pain,PCP
My head hurts whenever I try to do something.,Head ache,PCP
my left side aches much,Internal pain,PCP
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak,PCP
I feel pain in my neck after waking up,Neck pain,PCP
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound,Emergencey
I'm not feeling good I get infection wound,Infected wound,PCP
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,PCP
I'm feeling nauseous,Stomach ache,PCP
I feel shoulder pain at intervals of time.,Shoulder pain,PCP
My knee hurts when I play squash,Knee pain,PCP
"I can't stand up, I feel my brain is moving inside my skull.",Head ache,PCP
I feel lightheaded,Feeling dizzy,PCP
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold,Pharmacy
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,PCP
My back hurts me and i can't bend it or walk,Back pain,PCP
My lungs feel heavy like they are filled with mucus,Cough,PCP
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne,Pharmacy
I have a cut on my foot that became infected from using the showers at the gym.,Infected wound,PCP
My neck hurts me and i can't stand with this pain,Neck pain,PCP
my ear hurts me badly,Ear ache,PCP
The severe pain in the stomach I feel,Stomach ache,PCP
There is pain in the muscles I do not know caused,Muscle pain,PCP
When I play football I have muscle pain.,Muscle pain,PCP
I always feel like I have menstrual pains even if I don't have my period.,Internal pain,PCP
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out,Pharmacy
i have a hard pain in my stomach,Stomach ache,PCP
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,PCP
Is there a cure for acne?,Acne,Pharmacy
I have a back pain since I turned 70 years old.,Back pain,PCP
"my child has cough all night, she can't sleep",Cough,PCP
i have a migrain and i took panadol but it doesnƒ????t help,Head ache,PCP
In highschool I had a lot of acne.,Acne,Pharmacy
My body feels like it's in a refrigerator.,Feeling cold,Pharmacy
My shoulder hurts when I try to reach something above my head.,Shoulder pain,PCP
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain,PCP
I think I sprained my ankle it really hurts.,Injury from sports,Emergencey
I have a head pain every single day.,Internal pain,PCP
In the morning my respiration is loud.,Hard to breath,Emergencey
My acne itches and oozes.,Acne,Pharmacy
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,Emergencey
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy,PCP
I hit myself and the would doesn't want to heal,Open wound,Emergencey
I have a rash and it itches very bad.,Skin issue,Pharmacy
Mr hair is falling out just by combing it.,Hair falling out,Pharmacy
"I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough.",Feeling cold,Pharmacy
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne,Pharmacy
When i'm driving my eyes see in double,Blurry vision,PCP
After eating  I have burning sensation inside of me.,Stomach ache,PCP
I've got a hard time to breath- am I having a heart attack?,Hard to breath,Emergencey
The wound is still open,Open wound,Emergencey
I feel abdominal pain,Stomach ache,PCP
I feel pain in my joint after an injury in the last football match I played.,Joint pain,PCP
"My stomach aches after I drink any soda drink, why?",Stomach ache,PCP
When I think of my parents I feel pain,Emotional pain,PCP
i have a great pain in my thorax from heart injury,Heart hurts,Emergencey
My muscle in my shoulder burns when I move my arm.,Muscle pain,PCP
i have a pain in my trapes,Muscle pain,PCP
I don't have problems taking in breath but out breath is so heavy,Hard to breath,Emergencey
Sometimes I cough because I'm a smoker,Cough,PCP
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache,PCP
I was playing soccer and I twisted my ankle,Injury from sports,Emergencey
I think my body temperature is very low.,Feeling cold,Pharmacy
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath,Emergencey
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,Emergencey
i feel sad,Emotional pain,PCP
I feel a pain in my back,Back pain,PCP
I feel hurts in my heart,Heart hurts,Emergencey
I've always been very active but now I just don't have the strength or energy to go for even a short walk.,Body feels weak,PCP
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,Pharmacy
My body feels like it's in a refrigerator.,Feeling cold,Pharmacy
I get big patches of irritated pimples on my back and they hurt.,Acne,Pharmacy
Sterilizer for the eye,Blurry vision,PCP
i feel that is great pain in my left shoulder,Shoulder pain,PCP
"i can't walk, my knee hurts me",Knee pain,PCP
my ankle is hurting me,Joint pain,PCP
I feel pain in the knee when walking,Knee pain,PCP
Everything looks like beeing in a smoky area.,Blurry vision,PCP
My shoulder aches when I try to lift five pounds.,Shoulder pain,PCP
I'm not hearing well I have problem with my ear,Ear ache,PCP
My back hurts a lot when I bend,Back pain,PCP
My neck has been sore since the accident.,Neck pain,PCP
In highschool I had a lot of acne.,Acne,Pharmacy
My foot is hurting so much.,Foot ache,PCP
My back hurts so much I can't bend down to tie my shoelaces.,Back pain,PCP
i can't rotate my neck,Neck pain,PCP
I was kicked in the head playing soccer last night.,Injury from sports,Emergencey
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,PCP
I'm having a hard time reading because the letters are all fuzzy,Blurry vision,PCP
I can't sleep I have a hard cough,Cough,PCP
I think my body temperature is very low.,Feeling cold,Pharmacy
Oh my heart hurts me I tried to be calm and I can't,Heart hurts,Emergencey
i feel cold,Feeling cold,Pharmacy
My head gets dizzy when I try to get up.,Feeling dizzy,PCP
Whenever I stand up I feel dizzy.,Feeling dizzy,PCP
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,PCP
"when i get up, i feel dizzy and fall down.",Feeling dizzy,PCP
My neck feels stiff,Neck pain,PCP
I sliced myself deeply with a knife while I was cooking,Open wound,Emergencey
I feel dizzy after doing a muscular effort.,Feeling dizzy,PCP
i cant breathe,Cough,PCP
The pain in my ear is unbearable.,Ear ache,PCP
It feels like I can't take a deep breath,Hard to breath,Emergencey
I have a cut that has become red and oozes puss.,Infected wound,PCP
I complain alot with skin allergy,Skin issue,Pharmacy
I feel congestion in my chest,Cough,PCP
My foot hurts me a lot of playing football,Foot ache,PCP
I walk every day but now I get short of breath after going only a short way.,Hard to breath,Emergencey
I cannot get warm no matter how much I wrap up or how high I put the heating on,Feeling cold,Pharmacy
Since I went into the forest  I have pain on my ear,Ear ache,PCP
I have severe shoulder pain,Shoulder pain,PCP
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports,Emergencey
My cut yellow or greenish-colored pus,Infected wound,PCP
"laceration, rupture or opening in the skin",Open wound,Emergencey
i can hardly breathe,Hard to breath,Emergencey
I feel back pain when I carry heavy things,Back pain,PCP
I have a dull ache in my head,Head ache,PCP
My arm hurts when I stretch,Muscle pain,PCP
I feel very weak in my body,Body feels weak,PCP
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache,PCP
I complain alot with skin allergy,Skin issue,Pharmacy
I have difficulty in breathing in crowded places.,Hard to breath,Emergencey
I feel cold although we are in summer.,Feeling cold,Pharmacy
i can't rotate my neck,Neck pain,PCP
My kneecap feels like it is grating bone on bone when I walk.,Knee pain,PCP
I feel a strange and powerful pain inside my rib cage,Heart hurts,Emergencey
I think there's fluid in my ears.,Ear ache,PCP
It itches inside my ears.,Ear ache,PCP
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne,Pharmacy
I have some terrible problems when i'm breathing during the night.,Cough,PCP
I have a rash and it itches very bad.,Skin issue,Pharmacy
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,Emergencey
I've got a hard time to breath- am I having a heart attack?,Hard to breath,Emergencey
"Even if the temperature is high in the house,  my body is always cold",Feeling cold,Pharmacy
My skin is very dry and peeling.,Skin issue,Pharmacy
I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain,PCP
When i'm doing sport I have pain under my skin,Muscle pain,PCP
My shoulder hurts when I try to reach something above my head.,Shoulder pain,PCP
When I'm tired I feel my head heavy,Head ache,PCP
I feel severe itching in the skin with redness,Skin issue,Pharmacy
I hit myself and the would doesn't want to heal,Open wound,Emergencey
My face is all broken out with pimples.,Acne,Pharmacy
I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain,PCP
There are lots of hairs on my pillow in the morning.,Hair falling out,Pharmacy
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache,PCP
I cannot get warm no matter how much I wrap up or how high I put the heating on,Feeling cold,Pharmacy
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain,PCP
I feel a strange and powerful pain inside my rib cage,Heart hurts,Emergencey
My head hurts in the back and the pain lasts all day.,Head ache,PCP
It itches inside my ears.,Ear ache,PCP
I have some pain when i'm walking around my knees,Joint pain,PCP
When I get out of bed in the morning my body feels very weak.,Body feels weak,PCP
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,Emergencey
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain,PCP
My heart feels like it's going to explode.,Heart hurts,Emergencey
My stomach feels full and upset  and bloating after big meals.,Stomach ache,PCP
I cut myself and I'm bleeding.,Open wound,Emergencey
I have some terrible problems when i'm breathing during the night.,Cough,PCP
There is a tingling sensation in my neck.,Neck pain,PCP
I have a very rash sensation close to my arms,Skin issue,Pharmacy
"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache,PCP
What's the symptoms of appendicitis?,Internal pain,PCP
After a breakup  I feel something strange in me.,Emotional pain,PCP
After eating  I have burning sensation inside of me.,Stomach ache,PCP
My knee doesn't want to bend well.,Knee pain,PCP
is my cut infected or just healing?,Infected wound,PCP
I can't turn my neck to the left without feeling a stabbing pain,Neck pain,PCP
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy,PCP
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne,Pharmacy
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain,PCP
I think there's fluid in my ears.,Ear ache,PCP
I feel pain inside I do not know what it is,Internal pain,PCP
my left side aches much,Internal pain,PCP
My knee is hurting so badly.,Joint pain,PCP
I feel lightheaded,Feeling dizzy,PCP
chronic disease of hair follicles and sebaceous glands.,Acne,Pharmacy
There is pain in the muscles I do not know caused,Muscle pain,PCP
i can't ride my car at night because i have blurry vision.,Blurry vision,PCP
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,PCP
I get clusters of whiteheads and blackheads on my back.,Acne,Pharmacy
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain,PCP
The severe pain in the stomach I feel,Stomach ache,PCP
My head hurts whenever I try to do something.,Head ache,PCP
My knee hurts when I walk,Knee pain,PCP
I can't walk because i have a great foot ache,Foot ache,PCP
I'm feeling nauseous,Stomach ache,PCP
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,PCP
I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.,Shoulder pain,PCP
my ear hurts me badly,Ear ache,PCP
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain,PCP
My heart feels like it's going to explode.,Heart hurts,Emergencey
Something dark is there on my arm,Skin issue,Pharmacy
I think I sprained my ankle it really hurts.,Injury from sports,Emergencey
After eating  I have burning sensation inside of me.,Stomach ache,PCP
How do you know if you have a torn meniscus in your knee?,Knee pain,PCP
When I'm tired I feel my head heavy,Head ache,PCP
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain,PCP
I have a scab on the back of my hand that just won't go away.,Skin issue,Pharmacy
Since I went into the forest  I have pain on my ear,Ear ache,PCP
I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain,PCP
My ear is ringing.,Ear ache,PCP
My head hurts in the back and the pain lasts all day.,Head ache,PCP
My knee doesn't want to bend well.,Knee pain,PCP
It itches inside my ears.,Ear ache,PCP
My face is all broken out with pimples.,Acne,Pharmacy
In the morning my respiration is loud.,Hard to breath,Emergencey
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy,PCP
"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain,PCP
Mr hair is falling out just by combing it.,Hair falling out,Pharmacy
itch at front and center of scalp,Hair falling out,Pharmacy
I can't stand with this horrible feeling in my stomach,Stomach ache,PCP
My lungs feel heavy like they are filled with mucus,Cough,PCP
I have cloudy eyes,Blurry vision,PCP
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache,PCP
I got acne when I ate chili,Acne,Pharmacy
"I feel a pain on the left side of my chest, where my heart is",Heart hurts,Emergencey
I had alot of exercise yesterday so i feel sharp muscle pains,Muscle pain,PCP
I'm not good i'm feeling so cold,Feeling cold,Pharmacy
i have pain but i can't specify place,Internal pain,PCP
I feel a pain in my back when I sit on a chair for long.,Back pain,PCP
When I wake up I am feeling cold,Feeling cold,Pharmacy
When I lift my arms up I have a soreness in my shoulders,Shoulder pain,PCP
"I feel a pain on the left side of my chest, where my heart is",Heart hurts,Emergencey
My stomach has been sore since yesterday.,Stomach ache,PCP
I feel pain in my head with a vertigo,Head ache,PCP
I have a back pain since I fell on the floor.,Back pain,PCP
I feel great pressure in my chest,Hard to breath,Emergencey
my hand open wound got infected,Infected wound,PCP
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath,Emergencey
I feel like my heart is on fire.,Heart hurts,Emergencey
i have disterbance in my emotion,Emotional pain,PCP
stiffness inability to look right or left except by moving the whole body,Neck pain,PCP
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,PCP
My shoulder muscle hurts when I try to reach up.,Muscle pain,PCP
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,PCP
When I carry heavy things i feel like breaking my back,Back pain,PCP
I feel like the room is spinning,Feeling dizzy,PCP
I tried to put my glasses to see more clear but cant find any change,Blurry vision,PCP
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache,PCP
when i was washing my hair it was falling out heavily,Hair falling out,Pharmacy
When my grand father died I felt a hard emotional pain,Emotional pain,PCP
I have a neck pain when I sit in-front of my laptop.,Neck pain,PCP
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,Emergencey
My lower back hurts but it improves if I stretch it,Muscle pain,PCP
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
My skin is itchy and inflamed,Skin issue,Pharmacy
The pain feels like it's right below the skin,Muscle pain,PCP
I have a feeling like my whole body is complaining,Joint pain,PCP
I noticed an important decrease in my vision when I try to look at things up close.,Blurry vision,PCP
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath,Emergencey
I have internal pain whenever I come down with a cold.,Internal pain,PCP
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,Emergencey
i feel pain in my body,Internal pain,PCP
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak,PCP
My heart hurts when I exercise,Heart hurts,Emergencey
When I think of my parents I feel pain,Emotional pain,PCP
I have a mental suffering,Emotional pain,PCP
There is pain in the muscles I do not know caused,Muscle pain,PCP
There is this pain that radiates from my chest up to my left arm.,Heart hurts,Emergencey
My ear ache when I'm listening to music.,Ear ache,PCP
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,PCP
My knee hurts when I walk,Knee pain,PCP
I don't have problems taking in breath but out breath is so heavy,Hard to breath,Emergencey
I have a painful cramp in my feet,Foot ache,PCP
"My stomach aches when I eat hot food, why?",Stomach ache,PCP
I feel a clicking sensation in my knee each time I step.,Joint pain,PCP
i can't ride my car at night because i have blurry vision.,Blurry vision,PCP
i have a pain in my trapes,Muscle pain,PCP
I have a cut on my foot that became infected from using the showers at the gym.,Infected wound,PCP
"When I go to stand, my head starts swirling",Feeling dizzy,PCP
I was playing soccer and I twisted my ankle,Injury from sports,Emergencey
I don't know why I'm constantly sad.,Emotional pain,PCP
He was discovered to have an open wound.,Open wound,Emergencey
I feel pain inside I do not know what it is,Internal pain,PCP
I can't stand with this horrible feeling in my stomach,Stomach ache,PCP
I feel shoulder pain at intervals of time.,Shoulder pain,PCP
i have issue with my skin,Skin issue,Pharmacy
When i eat i feel my stomach hurts,Stomach ache,PCP
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,PCP
Oh my heart hurts me I tried to be calm and I can't,Heart hurts,Emergencey
"i am feeling so dizzy, body is so fragile.",Body feels weak,PCP
"i can't walk, my knee hurts me",Knee pain,PCP
I feel like I can hardly breathe unless I get what's in my lungs out,Cough,PCP
I feel pain inside and I can not identify it,Internal pain,PCP
My throught is so sore.,Neck pain,PCP
I feel like something is squeezing my lungs.,Hard to breath,Emergencey
When I'm too high I start to feel dizzy,Feeling dizzy,PCP
I have a rash on my skin,Skin issue,Pharmacy
I wish this excruciating feeling of loss could go away.,Emotional pain,PCP
My neck has been sore since the accident.,Neck pain,PCP
i hit the ground when trying to shoot a basketball,Injury from sports,Emergencey
My foot had been aching since last Tuesday.,Foot ache,PCP
I feel sad like hurt or pain,Emotional pain,PCP
I am having running nose,Feeling cold,Pharmacy
I have eruptions on my face that come and go .,Acne,Pharmacy
I feel weak all over.,Body feels weak,PCP
I have a great stomach ache and i can't eat any thing,Stomach ache,PCP
Severe pain in the ear,Ear ache,PCP
There is a sharp pain in my calve.,Muscle pain,PCP
I cannot bear this squeezing sensation I have in my chest.,Heart hurts,Emergencey
red flushes accompanied with itchy,Skin issue,Pharmacy
i have a problem in my back i cannot extend it,Back pain,PCP
It hurts when I bent my arm,Joint pain,PCP
My ear hurts when I touch it.,Ear ache,PCP
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound,PCP
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold,Pharmacy
Is there a cure for acne?,Acne,Pharmacy
"I hardly have enough stength to get up,",Body feels weak,PCP
I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.,Shoulder pain,PCP
i can't ride my car at night because i have blurry vision.,Blurry vision,PCP
The severe pain in the stomach I feel,Stomach ache,PCP
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound,Emergencey
my left side aches much,Internal pain,PCP
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy,PCP
There are some pimples on my face that bother me a lot,Acne,Pharmacy
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,PCP
I feel pain in the knee,Knee pain,PCP
"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",Infected wound,PCP
My back is hurting so much.,Back pain,PCP
I can't walk because i have a great foot ache,Foot ache,PCP
I've always been very active but now I just don't have the strength or energy to go for even a short walk.,Body feels weak,PCP
i was watching tv and suddenly have blurry vision,Blurry vision,PCP
I do not know why I feel cold,Feeling cold,Pharmacy
I have terrible pain in my heart,Heart hurts,Emergencey
I feel something hurt me in taking breath and I cant take my breath,Hard to breath,Emergencey
I feel weak all over.,Body feels weak,PCP
"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",Injury from sports,Emergencey
When I do hard exercises I feel great pain in my muscles.,Muscle pain,PCP
i have difficulty moving my neck,Neck pain,PCP
"when i get up, i feel dizzy and fall down.",Feeling dizzy,PCP
My skin is itching.,Skin issue,Pharmacy
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache,PCP
There is this pain that radiates from my chest up to my left arm.,Heart hurts,Emergencey
I feel pain in my right shoulder after the tennis match.,Injury from sports,Emergencey
my hair falling out,Hair falling out,Pharmacy
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain,PCP
I had an accident and my wound was open when I arrived to hospital,Open wound,Emergencey
I feel muscle pain every time I make an extra effort.,Muscle pain,PCP
I have a throbbing in my joints,Joint pain,PCP
Every time I comb my hair there are so many hair in my comb.,Hair falling out,Pharmacy
I have eruptions on my face that come and go .,Acne,Pharmacy
i'm disappointed,Emotional pain,PCP
"can't do any exercise, i feel weak",Body feels weak,PCP
I can't sleep I have a hard cough,Cough,PCP
There is so much pain when I move my arm.,Shoulder pain,PCP
"redness, swelling, and difficulty walking",Knee pain,PCP
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,PCP
I feel like my heart is on fire.,Heart hurts,Emergencey
When I played football I dislocated my shoulder,Injury from sports,Emergencey
I read a book for along time and when I finished reading I feel head ache,Head ache,PCP
I feel a pain in my back when I sit on a chair for long.,Back pain,PCP
I feel great pressure in my chest,Hard to breath,Emergencey
I have a pain internal,Internal pain,PCP
when i extend my leg there is pain in knee joint,Joint pain,PCP
I have a pain in my head,Head ache,PCP
I have a neck pain when I sit in-front of my laptop.,Neck pain,PCP
"When I move on my shoulder, pain shoots down my arm",Shoulder pain,PCP
I have this strange rash on my arm.,Skin issue,Pharmacy
i have disterbance in my emotion,Emotional pain,PCP
"It's hard to stand up, and I'm moving very slowly",Body feels weak,PCP
My chest acne breaks out and never clears up.,Acne,Pharmacy
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,PCP
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,Emergencey
My infected wound caused a fever,Infected wound,PCP
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath,Emergencey
I'm suffering from sharp cough Accompanied by  phlegm,Cough,PCP
I can't carry anything I have a pain in my shoulder,Shoulder pain,PCP
The pain in my ear is unbearable.,Ear ache,PCP
I have a pain in my joint,Joint pain,PCP
I'm having a hard time reading because the letters are all fuzzy,Blurry vision,PCP
I was kicked in the head playing soccer last night.,Injury from sports,Emergencey
I sliced myself deeply with a knife while I was cooking,Open wound,Emergencey
My foot hurts me a lot of playing football,Foot ache,PCP
I feel a burning sensation in my shoulder muscle.,Muscle pain,PCP
glass broken and wound my leg badly the wound is so wide,Open wound,Emergencey
"i was playing basketball yesterday, i have sprained ankle",Injury from sports,Emergencey
I can't carry anything I have a pain in my shoulder,Shoulder pain,PCP
i feel dizzy after severe diarrhea,Feeling dizzy,PCP
heavy breath with fatigue,Emotional pain,PCP
My head gets dizzy when I try to get up.,Feeling dizzy,PCP
My kneecap feels like it is grating bone on bone when I walk.,Knee pain,PCP
I feel pain in my heart when I wake up,Heart hurts,Emergencey
I hate my acne.,Acne,Pharmacy
My wound was infected when i was planting some flowers in my garden,Infected wound,PCP
I feel congestion in my chest,Cough,PCP
I complain alot with my neck pain and i really need to be better,Neck pain,PCP
Sometimes I cough because I'm a smoker,Cough,PCP
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports,Emergencey
I feel pain in my right shoulder after the tennis match.,Injury from sports,Emergencey
I can't see the sign I have a blurry vision,Blurry vision,PCP
my heart hurts me,Heart hurts,Emergencey
"My stomach aches after I drink any soda drink, why?",Stomach ache,PCP
My skin is itching.,Skin issue,Pharmacy
I have a cut that has become red and oozes puss.,Infected wound,PCP
My heart hurts when I exercise,Heart hurts,Emergencey
The acne was causing me to feel embarrassed.,Acne,Pharmacy
